region,sector,price_type,year,value_million_thb
Northern,"Population (1,000 persons)",current_market_prices,2023,11166.915
Southern,"Population (1,000 persons)",current_market_prices,2023,9790.743
Eastern,"Population (1,000 persons)",current_market_prices,2023,6499.113
Western,"Population (1,000 persons)",current_market_prices,2023,3655.813
Central,"Population (1,000 persons)",current_market_prices,2023,3168.698
Bangkok & Vicinities,"Population (1,000 persons)",current_market_prices,2023,17542.662
Whole Kingdom,"Population (1,000 persons)",current_market_prices,2023,70040.926
Northeastern,Agriculture,chain_volume_measures_ref2002,2023,172330.081
Northern,Agriculture,chain_volume_measures_ref2002,2023,121046.544
Southern,Agriculture,chain_volume_measures_ref2002,2023,188040.934
Eastern,Agriculture,chain_volume_measures_ref2002,2023,91113.09
Western,Agriculture,chain_volume_measures_ref2002,2023,62600.143
Central,Agriculture,chain_volume_measures_ref2002,2023,28449.647
Bangkok & Vicinities,Agriculture,chain_volume_measures_ref2002,2023,27548.966
Whole Kingdom,Agriculture,chain_volume_measures_ref2002,2023,693717.396
Northeastern,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,172330.081
Northern,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,121046.544
Southern,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,188040.934
Eastern,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,91113.09
Western,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,62600.143
Central,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,28449.647
Bangkok & Vicinities,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,27548.966
Whole Kingdom,"Agriculture, forestry and fishing",chain_volume_measures_ref2002,2023,693717.396
Northeastern,Non-Agriculture,chain_volume_measures_ref2002,2023,837540.538
Northern,Non-Agriculture,chain_volume_measures_ref2002,2023,610740.639
Southern,Non-Agriculture,chain_volume_measures_ref2002,2023,631076.313
Eastern,Non-Agriculture,chain_volume_measures_ref2002,2023,1712526.477
Western,Non-Agriculture,chain_volume_measures_ref2002,2023,276284.453
Central,Non-Agriculture,chain_volume_measures_ref2002,2023,536976.482
Bangkok & Vicinities,Non-Agriculture,chain_volume_measures_ref2002,2023,5711007.693
Whole Kingdom,Non-Agriculture,chain_volume_measures_ref2002,2023,10289883.771
Northeastern,Industrial,chain_volume_measures_ref2002,2023,232294.874
Northern,Industrial,chain_volume_measures_ref2002,2023,169170.832
Southern,Industrial,chain_volume_measures_ref2002,2023,131042.437
Eastern,Industrial,chain_volume_measures_ref2002,2023,1120868.555
Western,Industrial,chain_volume_measures_ref2002,2023,100732.901
Central,Industrial,chain_volume_measures_ref2002,2023,346805.795
Bangkok & Vicinities,Industrial,chain_volume_measures_ref2002,2023,1228677.616
Whole Kingdom,Industrial,chain_volume_measures_ref2002,2023,3350478.84
Northeastern,Mining and quarrying,chain_volume_measures_ref2002,2023,8102.269
Northern,Mining and quarrying,chain_volume_measures_ref2002,2023,19867.955
Southern,Mining and quarrying,chain_volume_measures_ref2002,2023,27537.204
Eastern,Mining and quarrying,chain_volume_measures_ref2002,2023,103846.428
Western,Mining and quarrying,chain_volume_measures_ref2002,2023,5154.843
Central,Mining and quarrying,chain_volume_measures_ref2002,2023,8634.796
Bangkok & Vicinities,Mining and quarrying,chain_volume_measures_ref2002,2023,2211.178
Whole Kingdom,Mining and quarrying,chain_volume_measures_ref2002,2023,173791.367
Northeastern,Manufacturing,chain_volume_measures_ref2002,2023,187314.576
Northern,Manufacturing,chain_volume_measures_ref2002,2023,125788.667
Southern,Manufacturing,chain_volume_measures_ref2002,2023,77008.938
Eastern,Manufacturing,chain_volume_measures_ref2002,2023,904345.54
Western,Manufacturing,chain_volume_measures_ref2002,2023,78756.99
Central,Manufacturing,chain_volume_measures_ref2002,2023,299586.177
Bangkok & Vicinities,Manufacturing,chain_volume_measures_ref2002,2023,1121585.971
Whole Kingdom,Manufacturing,chain_volume_measures_ref2002,2023,2815917.145
Northeastern,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,38716.498
Northern,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,23816.751
Southern,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,26354.094
Eastern,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,100455.039
Western,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,17971.406
Central,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,35044.217
Bangkok & Vicinities,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,76776.469
Whole Kingdom,"Electricity, gas, steam and air conditioning supply",chain_volume_measures_ref2002,2023,310030.407
Northeastern,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,4366.715
Northern,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,4052.932
Southern,"Water supply; sewerage, waste management 
and remediation activities",chain_volume_measures_ref2002,2023,2192.133
